Genre, Number_of_movies
(Action,1331)
(Adventure,392)
(Animation,277)
(Biography,359)
(Comedy,2080)
(Crime,522)
(Drama,1444)
(Family,14)
(Fantasy,32)
(Horror,277)
(Musical,4)
(Mystery,38)
(Romance,15)
(Sci-Fi,13)
(Thriller,18)
(War,2)
(Western,2)

Year, Number_of_movies
(1986,220)
(1987,219)
(1988,220)
(1989,221)
(1990,220)
(1991,220)
(1992,220)
(1993,220)
(1994,220)
(1995,220)
(1996,220)
(1997,220)
(1998,220)
(1999,220)
(2000,220)
(2001,220)
(2002,220)
(2003,220)
(2004,220)
(2005,220)
(2006,220)
((2005,Drama),256.59999999999997,6.752631578947367)
((2005,Horror),60.70000000000001,5.518181818181819)
((2005,Mystery),6.5,6.5)
((2006,Action),218.69999999999996,6.248571428571427)
((2006,Adventure),90.29999999999998,6.449999999999998)
((2006,Animation),108.19999999999999,6.364705882352941)
((2006,Biography),118.89999999999999,6.994117647058823)
((2006,Comedy),404.3,6.22)
((2006,Crime),112.10000000000001,7.0062500000000005)
((2006,Drama),302.90000000000003,7.044186046511629)
((2006,Horror),63.300000000000004,5.275)
((2006,Mystery),6.6,6.6)
((2007,Action),219.9,6.108333333333333)
((2007,Adventure),101.4,6.760000000000001)
((2007,Animation),74.1,6.736363636363635)
((2007,Biography),108.60000000000001,7.24)
((2007,Comedy),316.29999999999995,6.082692307692307)
((2007,Crime),185.0,6.851851851851852)
((2007,Drama),306.4000000000001,6.808888888888891)
((2007,Horror),96.8,6.05)
((2007,Mystery),10.0,5.0)
((2007,Sci-Fi),5.9,5.9)
((2008,Action),335.0999999999999,6.444230769230767)
((2008,Adventure),69.89999999999999,5.824999999999999)
((2008,Animation),70.1,7.01)
((2008,Biography),84.9,7.075)
((2008,Comedy),349.1,5.916949152542373)
((2008,Crime),136.0,6.476190476190476)
((2008,Drama),280.09999999999997,6.83170731707317)
((2008,Fantasy),6.7,6.7)
((2008,Horror),68.2,5.683333333333334)
((2009,Action),223.69999999999993,6.213888888888887)
((2009,Adventure),126.09999999999998,6.636842105263157)
((2009,Animation),113.29999999999998,6.664705882352941)
((2009,Biography),98.60000000000001,7.042857142857144)
((2009,Comedy),353.79999999999995,6.1)
((2009,Crime),81.2,6.766666666666667)
((2009,Drama),317.3999999999999,6.753191489361701)
((2009,Horror),75.89999999999999,5.838461538461538)
((2009,Mystery),12.600000000000001,6.300000000000001)
((2009,Sci-Fi),8.0,8.0)
((2009,Thriller),5.9,5.9)
((2010,Action),332.20000000000016,6.3884615384615415)
((2010,Adventure),90.9,6.492857142857143)
((2010,Animation),69.99999999999999,6.999999999999998)
((2010,Biography),76.9,6.990909090909091)
((2010,Comedy),419.50000000000017,6.261194029850749)
((2010,Crime),73.89999999999999,6.718181818181818)
((2010,Drama),281.49999999999994,6.702380952380951)
((2010,Fantasy),5.6,5.6)
((2010,Horror),45.8,5.725)
((2010,Mystery),8.1,8.1)
((2010,Sci-Fi),6.0,6.0)
((2010,Thriller),12.600000000000001,6.300000000000001)
((2011,Action),303.1000000000001,6.185714285714288)
((2011,Adventure),80.0,6.666666666666667)
((2011,Animation),83.70000000000002,6.43846153846154)
((2011,Biography),84.3,7.0249999999999995)
((2011,Comedy),357.2999999999999,6.380357142857141)
((2011,Crime),67.8,6.779999999999999)
((2011,Drama),355.2999999999999,6.703773584905658)
((2011,Fantasy),10.8,5.4)
((2011,Horror),49.199999999999996,5.466666666666666)
((2011,Mystery),21.9,7.3)
((2011,Romance),7.1,7.1)
((2012,Action),298.9000000000001,6.359574468085109)
((2012,Adventure),100.8,6.72)
((2012,Animation),69.9,6.99)
((2012,Biography),61.6,6.844444444444445)
((2012,Comedy),389.90000000000003,6.288709677419355)
((2012,Crime),58.199999999999996,6.466666666666666)
((2012,Drama),339.40000000000003,6.788)
((2012,Horror),85.6,5.35)
((2012,Mystery),5.3,5.3)
((2012,Sci-Fi),7.1,7.1)
((2013,Action),337.3,6.486538461538462)
((2013,Adventure),94.89999999999999,6.778571428571428)
((2013,Animation),82.6,6.883333333333333)
((2013,Biography),138.69999999999996,6.934999999999998)
